Text,identifies text as in Collection A
Planet,identifies planet
Event,phi = first station; psi = second station
Tera,reign or SE for Seleucid Era
TY,Babylonian year number
TM,Bab month number
TD,Bab day number
NSName,the Normal Star
NSNo,number of star in Sachs-Hunger list
East?,Y if there is or was a measurement behind/in front; N if definitely not; ? If uncertain
East_cub,cubits distance reported; fingers have been converted to cubits at 24 fingers = 1 cubit; negative means in front
North?,Y if there is or was a measurement above/below; N if definitely not; ? If uncertain
North_cub,cubits distance reported; fingers have been converted; negative means below
JY,Julian calendar year
TrueDate,Closest date to station according to JPL ephemeris
JPLLong,Longitude at 21 UT from JPL
JPLLat,Latitude at 21 UT
Notes,miscellaneous notes
NSLong,longitude of median passage point of Normal Star
NSLat,latitude of Normal Star
NSLongUncorr,longitude of Normal Star uncorrected for passage point


Text,Planet,Event,Tera,TY,TM,TD,NSName,NSNo,East?,East_cub,North?,North_cub,JY,TrueDate,JPLLong,JPLLat,Notes,NSLong,NSLat,NSLongUncorr
BM34037,Jupiter,Phi,SE,96,,,bVir,21,Y,-2,N,,-215,b0216-Dec-10 21:00,142.1495147,1.272924,,145.7916574,0.647508125,145.8853192
BM34579,Saturn,Psi,SE,80,12.2,25,thLeo,20,Y,-1.5,N,,-230,b0231-Apr-16 21:00,130.8208313,1.8087096,,135.7290635,9.64790625,132.3904196
BM34579,Saturn,Phi,SE,81,9,19,bVir,21,Y,2.333333333,N,,-230,b0231-Dec-13 21:00,150.3800936,2.0631774,,145.5807599,0.64699125,145.6744217
BM35387,Jupiter,Psi,SE,71,12,2,dCnc,16,Y,-2,N,,-239,b0240-Mar-02 21:00,92.4717963,0.652757,,97.33808328,-0.01555975,97.57139863
BM35387,Jupiter,Phi,SE,71,8,2,dCnc,16,Y,2,N,,-240,b0241-Nov-01 21:00,102.5177656,0.4036407,2c some dir,97.32423132,-0.01561,97.55754667
-246,Saturn,Psi,SE,65,6,,gCap,31,Y,-0.67,N,,-246,b0247-Sep-25 21:00,287.1848923,-0.8584649,,290.2957586,-2.320299917,290.4549524
BM34048,Jupiter,Psi,SE,64,3,27,bSco,27,Y,-0.5,N,,-247,b0248-Jul-01 21:00,210.5520501,0.957934,,211.8412034,1.284900917,211.9741906
BM34149,Saturn,Phi,SE,63,,23,bCap,30,Y,-1,N,,-248,b0249-Apr-13 21:00,270.5288834,0.4089582,dist?,273.8677985,4.834964667,272.781784
BM32443,Jupiter,Psi,SE,35,,,bGem,12,Y,-0.5,N,,-275,b0276-Feb-16 21:00,78.536625,0.3006088,,82.14144477,6.505545833,81.96706667
H69,Mars,Psi,SE,33,11,26,eLeo,17,Y,-1,N,,-277,b0278-Feb-28 21:00,105.2792139,3.6662809,,108.8765928,9.537906042,109.0422184
